Regione,anno,NTN_totale,NTN_fino_a_50_mq,NTN_50_85_mq,NTN_85_115_mq,NTN_115_145_mq,NTN_oltre_145_mq
Calabria,2019,11936.68,1654.33,3468.81,2728.73,2102.32,1982.49
Campania,2019,35695.46,3525.01,7970.01,10168.28,7641.06,6391.1
Emilia-Romagna,2019,54577.22,4037.12,16964.12,16376.39,7867.89,9331.7
Friuli- Venezia Giulia,2019,9142.39,639.16,1867.85,2216.55,1577.3,2841.53
Lazio,2019,60937.94,5848.32,23133.09,16472.48,8155.57,7328.48
Liguria,2019,21763.47,2770.82,8747.66,5927.18,2466.88,1850.93
Lombardia,2019,130738.76,13035.97,45727.31,35530.26,17673.28,18771.94
Marche,2019,13059.96,882.85,3479.66,3851.46,2490.18,2355.81
Molise,2019,2327.79,254.72,664.23,568.23,413.01,427.6
Piemonte,2019,53937.87,4697.58,17788.05,13952.47,7024.37,10475.4
Puglia,2019,34815.63,3930.26,8649.87,9776.51,7226.74,5232.25
Sardegna,2019,13876.55,1412.43,4424.67,3160.76,2283.64,2595.05
Sicilia,2019,37829.32,4068.32,9011.58,9626.58,8173.62,6949.22
Toscana,2019,41370.0,3033.51,12123.27,11726.8,6880.95,7605.47
Umbria,2019,7732.83,504.39,1784.32,2222.0,1476.72,1745.4
Valle d'Aosta,2019,1966.88,425.1,757.44,444.18,206.93,133.23
Veneto,2019,57491.82,3140.05,14569.12,15844.37,10145.97,13792.31
Italia,2019,604167.7699999999,55429.89,185651.59000000003,164399.40999999997,96480.18,102206.69999999998
Abruzzo,2020,10797.44,1077.14,3272.88,2747.38,1867.98,1832.06
Basilicata,2020,3183.28,391.3,855.99,878.83,607.84,449.32
Calabria,2020,10843.52,1438.47,3160.95,2358.83,1912.55,1972.72
Campania,2020,31772.98,3193.33,6991.06,8899.53,6693.18,5995.88
Emilia-Romagna,2020,51462.79,3728.52,15704.07,14951.34,7628.69,9450.17
Friuli- Venezia Giulia,2020,8643.53,516.21,1769.88,2028.41,1515.74,2813.29
Lazio,2020,55955.95,5219.09,21078.49,14980.0,7690.63,6987.74
Liguria,2020,19788.18,2346.71,7908.18,5472.6,2279.3,1781.39
Lombardia,2020,120611.86,11668.58,41303.43,32808.61,16539.85,18291.39
Marche,2020,12811.76,968.24,3517.11,3474.31,2369.6,2482.5
Molise,2020,2193.88,231.24,636.63,490.38,421.87,413.76
Piemonte,2020,50761.04,4526.86,16341.38,13013.72,6624.68,10254.4
Puglia,2020,32187.48,3450.12,8113.75,9051.25,6544.94,5027.42
Sardegna,2020,12736.97,1184.65,4157.35,2990.66,2032.21,2372.1
Sicilia,2020,34331.49,3545.5,8176.56,8500.93,7418.64,6689.86
Toscana,2020,37935.95,2701.8,11147.9,10573.32,6318.39,7194.54
Umbria,2020,7369.43,468.35,1687.04,2008.46,1453.86,1751.72
Valle d'Aosta,2020,1812.84,398.23,718.62,370.03,172.7,153.26
Veneto,2020,53521.22,3011.59,13476.64,14135.06,9410.34,13487.59
Italia,2020,558721.5900000001,50065.92999999999,170017.90999999997,149733.64999999997,89502.98999999999,99401.11
Abruzzo,2021,15059.88,1596.69,4823.15,3592.25,2588.89,2458.9
Basilicata,2021,4071.25,498.5,1213.37,1029.73,770.27,559.38
Calabria,2021,14988.43,2102.65,4352.95,3371.78,2653.14,2507.91
Campania,2021,42363.79,4430.11,9357.16,11669.33,8913.96,7993.23
Emilia-Romagna,2021,69888.11,5007.56,21478.0,19885.35,10532.34,12984.86
Friuli- Venezia Giulia,2021,11367.15,775.65,2275.74,2652.18,1963.95,3699.63
Lazio,2021,75715.78,7002.01,28224.3,20175.59,10266.29,10047.59
Liguria,2021,27403.53,3451.8,10779.01,7453.07,3117.8,2601.85
Lombardia,2021,159155.38,14947.02,53818.12,43120.94,22025.04,25244.26
Marche,2021,17478.6,1274.48,4766.09,4800.2,3241.65,3396.18
Molise,2021,3097.78,335.18,868.9,763.05,559.0,571.65
Piemonte,2021,67636.02,5831.6,21355.07,17112.46,8859.86,14477.03
Puglia,2021,44185.95,5123.09,11247.6,12033.38,8794.9,6986.98
Sardegna,2021,16989.59,1690.83,5555.26,3834.19,2581.37,3327.94
Sicilia,2021,46719.26,4959.41,11096.79,11422.23,10213.04,9027.79
Toscana,2021,51361.68,3603.6,14838.36,14277.68,8409.91,10232.13
Umbria,2021,9941.63,638.8,2205.16,2635.55,1991.49,2470.63
Valle d'Aosta,2021,2349.42,502.97,942.28,493.12,226.31,184.74
Veneto,2021,69604.17,3996.54,17426.93,18018.36,12282.54,17879.8
Italia,2021,749377.4,67768.48999999999,226624.24,198340.44,119991.75,136652.48
Abruzzo,2022,16422.02,1738.81,5141.08,3993.42,2843.71,2705.0
Basilicata,2022,4585.88,607.03,1380.79,1134.66,820.69,642.71
Calabria,2022,16467.67,2391.1,4843.18,3679.39,2776.63,2777.37
Campania,2022,44446.55,4377.06,9882.63,12466.04,9474.24,8246.58
Emilia-Romagna,2022,71228.83,5493.7,22336.98,20732.54,10442.48,12223.13
Friuli- Venezia Giulia,2022,11577.03,753.15,2414.29,2805.09,1982.11,3622.39
Lazio,2022,77627.74,7431.94,29453.78,20623.0,10334.08,9784.94
Liguria,2022,28971.7,3903.05,11595.0,7696.92,3174.98,2601.75
Lombardia,2022,165305.37,16368.74,57877.47,44831.44,22045.07,24182.65
Marche,2022,18503.25,1335.59,5252.79,5034.91,3433.36,3446.6
Molise,2022,3431.43,371.55,1028.43,857.18,577.15,597.12
Piemonte,2022,69946.92,6227.14,22600.27,18057.87,9170.38,13891.26
Puglia,2022,47745.7,5302.43,12420.56,13385.67,9343.79,7293.25
Sardegna,2022,18481.35,1882.81,5952.49,4147.25,2957.01,3541.79
Sicilia,2022,51148.5,5381.53,12401.41,12772.46,10898.1,9695.0
Toscana,2022,54912.64,3985.64,16039.06,15359.61,8935.69,10592.64
Umbria,2022,11383.11,714.95,2615.09,3075.09,2291.79,2686.19
Valle d'Aosta,2022,2570.38,537.5,982.4,581.06,258.52,210.9
Veneto,2022,70626.12,4170.41,17925.73,19025.89,12065.55,17438.54
Italia,2022,785382.19,72974.12999999999,242143.43,210259.49,123825.33,136179.81
Abruzzo,2023,15104.42,1541.24,4783.02,3681.59,2644.83,2453.74
Basilicata,2023,4164.96,495.89,1252.61,1034.04,763.52,618.9
Calabria,2023,16415.63,2529.7,4862.97,3700.94,2676.85,2645.17
Campania,2023,41967.26,4454.21,9535.07,11576.94,8501.55,7899.49
Emilia-Romagna,2023,62768.42,4994.9,19979.44,18132.1,8952.41,10709.57
Friuli- Venezia Giulia,2023,9626.93,635.55,2071.37,2301.54,1686.66,2931.81
Lazio,2023,68021.03,7076.24,25919.18,17887.64,8967.9,8170.07
Liguria,2023,26224.81,3673.65,10776.96,6828.79,2802.58,2142.83
Lombardia,2023,150722.67,15462.29,53458.75,40468.89,19719.35,21613.39
Marche,2023,16025.37,1197.16,4545.45,4447.01,2906.93,2928.82
Molise,2023,3115.17,331.74,947.45,713.5,512.84,609.64
Piemonte,2023,63755.72,6205.21,21532.97,15899.43,7965.69,12152.42
Puglia,2023,42441.04,5045.9,11083.37,11775.16,8130.77,6405.84
Sardegna,2023,17693.32,1920.97,5590.56,3932.25,2728.45,3521.09
Sicilia,2023,49812.89,5438.88,11955.2,12658.75,10323.82,9436.24
Toscana,2023,47328.36,3586.46,14128.16,13168.56,7517.44,8927.74
Umbria,2023,9989.85,712.74,2410.28,2699.6,1868.99,2298.24
Valle d'Aosta,2023,2216.17,466.28,869.99,466.56,216.21,197.13
Veneto,2023,63124.35,3853.96,16097.97,16636.29,10889.13,15647.0
Italia,2023,710518.37,69622.97000000002,221800.77,188009.58,109775.92,121309.13
Abruzzo,2024,16495.54,1773.25,5338.3,4002.18,2702.46,2679.35
Basilicata,2024,4043.34,502.5,1214.77,1068.58,698.09,559.4
Calabria,2024,16409.06,2566.67,4834.28,3691.85,2688.21,2628.05
Campania,2024,42351.0,4678.89,9740.58,11562.69,8706.46,7662.38
Emilia-Romagna,2024,63588.3,5017.75,20081.55,18329.44,9187.52,10972.04
Friuli- Venezia Giulia,2024,10241.25,735.75,2126.49,2414.85,1713.26,3250.9
Lazio,2024,69808.86,6911.91,26474.21,18579.3,9342.68,8500.76
Liguria,2024,26129.42,3518.71,10736.62,7027.34,2751.39,2095.36
Lombardia,2024,151465.17,15663.92,53562.98,40627.56,19895.85,21714.86
Marche,2024,16722.01,1411.55,4651.18,4557.29,2988.65,3113.34
Molise,2024,3301.04,367.81,1011.72,746.24,592.24,583.03
Piemonte,2024,64407.43,6089.46,21811.33,16458.21,7997.85,12050.58
Puglia,2024,43827.82,5161.59,11807.81,12072.02,8341.33,6445.07
Sardegna,2024,17694.54,1884.87,5706.87,3998.83,2683.66,3420.31
Sicilia,2024,49978.07,5485.29,12202.84,12369.33,10479.41,9441.2
Toscana,2024,47086.48,3497.92,13881.85,13298.1,7608.24,8800.37
Umbria,2024,10024.08,776.96,2428.27,2598.02,1892.29,2328.54
Valle d'Aosta,2024,2216.36,463.63,865.72,505.19,200.69,181.13
Veneto,2024,63788.28,3861.92,16263.85,16820.0,11123.7,15718.81
Italia,2024,719578.05,70370.35,224741.22,190727.02,111593.97999999998,122145.48
